queue_rank,task_id,target_phase,synthesis_family,route_prediction,current_source,current_template,current_cost,current_points,target_cost,projected_gain_to_target,priority_score,required_system,first_action,preferred_lowerings,reject_lowerings,proof_requirements,worker_acceptance,leakage_risk,private_risk
176,30,phase2_7000_submit_safe,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,11998,15.607504751786962,3000,1.3861276805627938,24.253772053840976,sparse edit and object completion enumerator,"derive changed-cell mask and color roles; fit local neighborhood, component, or ray rule; emit sparse coordinate program only if index table is tiny",small Conv kernels; GatherND/ScatterND with few coordinates; Equal plus single Where for small masks,full-grid Where chain; large coordinate initializer; unrolled iterative fill without cost forecast,changed-cell rule explains all train diffs; arc-gen sample pass; coordinate table remains below gate; cost is lower than current selected ONNX,"task030: validation pass, cost < 11998, target cost <= 3000, static/banned-op gate pass",medium,medium
177,355,phase2_7000_submit_safe,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11622,15.639344867364949,3000,1.3542875649848067,24.253530782483118,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task355: validation pass, cost < 11622, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
178,362,phase2_7000_submit_safe,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,11939,15.612434368654611,3000,1.3811980636951446,24.199546268296835,region and room-fill synthesizer,detect boundary colors and line-grid rooms; prefer closed-form room masks over flood-fill unroll; try row/column prefix reductions before dilation,static row/column ReduceSum masks; small Conv kernels; single-pass room mask Where,radius-scale flood-fill unroll; many-step dilation; dynamic full-grid color map,boundary/interior semantics fit train examples; sample validation pass; unroll count is justified by cost gate; cost is lower than current selected ONNX,"task362: validation pass, cost < 11939, target cost <= 3000, static/banned-op gate pass",medium,medium-high
179,370,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11547,15.645819058048144,3000,1.3478133743016123,24.18231468496798,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task370: validation pass, cost < 11547, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
180,345,phase2_7000_submit_safe,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,11716,15.631289292052376,3000,1.36234314029738,23.992142110921424,seed-to-pattern grammar,"identify seed colors and directions; enumerate rays, periodic diagonal shifts, boxes, and reflected motifs; bind colors through roles rather than absolute labels when possible",constant affine coordinate masks; small Conv kernels for line detection; Gather/Where over precomputed row-column masks,per-cell ScatterND table; full-grid iterative ray propagation; Where chain over all periods,direction/period inferred from train examples; sample validation pass; private-like rule note names the invariant; cost is lower than current selected ONNX,"task345: validation pass, cost < 11716, target cost <= 3000, static/banned-op gate pass",medium,medium
181,290,phase2_7000_submit_safe,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,11708,15.631972352188223,3000,1.361660080161533,23.984628449427106,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task290: validation pass, cost < 11708, target cost <= 3000, static/banned-op gate pass",medium,medium
182,124,phase2_7000_submit_safe,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,11673,15.634966238347337,3000,1.358666194002419,23.951695701676854,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task124: validation pass, cost < 11673, target cost <= 3000, static/banned-op gate pass",medium,medium
183,374,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11254,15.671521100006776,3000,1.3221113323429794,23.89959222342302,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task374: validation pass, cost < 11254, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
184,12,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11213,15.675170901539119,3000,1.3184615308106373,23.859444406567256,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task012: validation pass, cost < 11213, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
185,78,phase2_7000_submit_safe,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,11496,15.65024557224114,3000,1.343386860108616,23.78362302884502,sparse edit and object completion enumerator,"derive changed-cell mask and color roles; fit local neighborhood, component, or ray rule; emit sparse coordinate program only if index table is tiny",small Conv kernels; GatherND/ScatterND with few coordinates; Equal plus single Where for small masks,full-grid Where chain; large coordinate initializer; unrolled iterative fill without cost forecast,changed-cell rule explains all train diffs; arc-gen sample pass; coordinate table remains below gate; cost is lower than current selected ONNX,"task078: validation pass, cost < 11496, target cost <= 3000, static/banned-op gate pass",medium,medium
186,193,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11099,15.68538970684802,3000,1.308242725501735,23.74703754816933,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task193: validation pass, cost < 11099, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
187,343,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11099,15.68538970684802,3000,1.308242725501735,23.74703754816933,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task343: validation pass, cost < 11099, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
188,340,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10939,15.69991033588021,3000,1.293722096469546,23.587310628815253,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task340: validation pass, cost < 10939, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
189,23,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10875,15.705778144043116,3000,1.2878542883066402,23.522764739023287,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task023: validation pass, cost < 10875, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
190,66,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10875,15.705778144043116,3000,1.2878542883066402,23.522764739023287,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task066: validation pass, cost < 10875, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
191,208,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10875,15.705778144043116,3000,1.2878542883066402,23.522764739023287,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task208: validation pass, cost < 10875, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
192,251,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10875,15.705778144043116,3000,1.2878542883066402,23.522764739023287,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task251: validation pass, cost < 10875, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
193,153,phase2_7000_submit_safe,crop_resize,crop_or_resize,kojimar_5800_minimal_blend,baseline,11212,15.675260087715321,3000,1.3183723446344349,23.50846335862903,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task153: validation pass, cost < 11212, target cost <= 3000, static/banned-op gate pass",medium,medium
194,360,phase2_7000_submit_safe,crop_resize,crop_or_resize,afr1ste_5689_artifact,baseline,11146,15.681164031870518,3000,1.3124684004792382,23.443519972921862,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task360: validation pass, cost < 11146, target cost <= 3000, static/banned-op gate pass",medium,medium
195,64,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10771,15.71538738364923,3000,1.2782450487005264,23.417063103356035,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task064: validation pass, cost < 10771, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
196,8,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10555,15.735645039717578,3000,1.2579873926321774,23.194228886604197,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task008: validation pass, cost < 10555, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
197,77,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10491,15.741726974268515,3000,1.2519054580812412,23.1273276065439,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task077: validation pass, cost < 10491, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
198,25,phase2_7000_submit_safe,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10331,15.757095637150554,3000,1.2365367951992017,22.958272314841466,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task025: validation pass, cost < 10331, target cost <= 3000, static/banned-op gate pass",high,high until replaced by rule
199,188,phase2_7000_submit_safe,crop_resize,crop_or_resize,afr1ste_5689_artifact,baseline,10664,15.725371138141455,3000,1.2682612942083011,22.957241803941557,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task188: validation pass, cost < 10664, target cost <= 3000, static/banned-op gate pass",medium,medium
200,94,phase2_7000_submit_safe,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,10453,15.745355702467293,3000,1.2482767298824626,22.737411596357333,region and room-fill synthesizer,detect boundary colors and line-grid rooms; prefer closed-form room masks over flood-fill unroll; try row/column prefix reductions before dilation,static row/column ReduceSum masks; small Conv kernels; single-pass room mask Where,radius-scale flood-fill unroll; many-step dilation; dynamic full-grid color map,boundary/interior semantics fit train examples; sample validation pass; unroll count is justified by cost gate; cost is lower than current selected ONNX,"task094: validation pass, cost < 10453, target cost <= 3000, static/banned-op gate pass",medium,medium-high
201,397,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10235,15.76643150190461,1000,2.325813219113254,33.241700689227926,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task397: validation pass, cost < 10235, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
202,102,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10233,15.766626928913245,1000,2.3256177921046177,33.23955099213293,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task102: validation pass, cost < 10233, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
203,118,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10000,15.789659628023816,1000,2.302585092994047,32.98619130191665,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task118: validation pass, cost < 10000, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
204,329,phase3_7400_private_like,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,10260,15.76399188127524,1000,2.328252839742623,32.918536516150986,sparse edit and object completion enumerator,"derive changed-cell mask and color roles; fit local neighborhood, component, or ray rule; emit sparse coordinate program only if index table is tiny",small Conv kernels; GatherND/ScatterND with few coordinates; Equal plus single Where for small masks,full-grid Where chain; large coordinate initializer; unrolled iterative fill without cost forecast,changed-cell rule explains all train diffs; arc-gen sample pass; coordinate table remains below gate; cost is lower than current selected ONNX,"task329: validation pass, cost < 10260, target cost <= 1000, static/banned-op gate pass",medium,medium
205,270,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9819,15.80792543683071,1000,2.284319284187154,32.78526740504083,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task270: validation pass, cost < 9819, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
206,169,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9787,15.81118974657418,1000,2.2810549744436823,32.74935999786264,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task169: validation pass, cost < 9787, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
207,341,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9787,15.81118974657418,1000,2.2810549744436823,32.74935999786264,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task341: validation pass, cost < 9787, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
208,246,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9755,15.814464746942788,1000,2.2777799740750755,32.71333499380797,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task246: validation pass, cost < 9755, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
209,391,phase3_7400_private_like,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,10021,15.787561829941671,1000,2.304682891076192,32.65926708082025,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task391: validation pass, cost < 10021, target cost <= 1000, static/banned-op gate pass",medium,medium
210,312,phase3_7400_private_like,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,9979,15.791761836115688,1000,2.3004828849021752,32.613067012906065,sparse edit and object completion enumerator,"derive changed-cell mask and color roles; fit local neighborhood, component, or ray rule; emit sparse coordinate program only if index table is tiny",small Conv kernels; GatherND/ScatterND with few coordinates; Equal plus single Where for small masks,full-grid Where chain; large coordinate initializer; unrolled iterative fill without cost forecast,changed-cell rule explains all train diffs; arc-gen sample pass; coordinate table remains below gate; cost is lower than current selected ONNX,"task312: validation pass, cost < 9979, target cost <= 1000, static/banned-op gate pass",medium,medium
211,212,phase3_7400_private_like,line_grid_fill,sparse_edit_or_object_completion,afr1ste_5689_artifact,baseline,9969,15.792764442977296,1000,2.2994802780405674,32.602038337428375,"line, ray, and grid grammar",detect complete/incomplete rows and columns; enumerate line extension and crossing rules; fit stop conditions from blockers and colors,ReduceSum row/column masks; small Conv kernels; constant masks plus Where,per-cell ScatterND table; full-grid Tile; long Where chain,line stop condition is explicit; sample validation pass; static shape check pass; cost is lower than current selected ONNX,"task212: validation pass, cost < 9969, target cost <= 1000, static/banned-op gate pass",medium,medium
212,252,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9531,15.837695077062374,1000,2.254549643955489,32.45780136249251,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task252: validation pass, cost < 9531, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
213,71,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9502,15.840742418253134,1000,2.251502302764729,32.42428060939416,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task071: validation pass, cost < 9502, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
214,156,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9502,15.840742418253134,1000,2.251502302764729,32.42428060939416,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task156: validation pass, cost < 9502, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
215,225,phase3_7400_private_like,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9371,15.854624906876177,1000,2.237619814141686,32.27157323454068,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task225: validation pass, cost < 9371, target cost <= 1000, static/banned-op gate pass",high,high until replaced by rule
