priority_rank,task_id,current_cost,current_points,synthesis_family,route_prediction,current_source,current_template,target_phase,required_system,required_lowering,main_blocker,gain_if_cost_le_9000,gain_if_cost_le_3000,gain_if_cost_le_1000,gain_if_cost_le_300
172,162,12028,15.605007,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.290013,1.388625,2.487237,3.691210
173,30,11998,15.607505,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.287515,1.386128,2.484740,3.688713
174,362,11939,15.612434,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,region and room-fill synthesizer,"static line-grid reductions, boundary masks, limited unroll only after cost model approval",naive flood-fill unroll is correct but too costly,0.282586,1.381198,2.479810,3.683783
175,166,11868,15.618399,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.276621,1.375233,2.473846,3.677819
176,345,11716,15.631289,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",0.263731,1.362343,2.460955,3.664928
177,131,11708,15.631972,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.263048,1.361660,2.460272,3.664245
178,290,11708,15.631972,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.263048,1.361660,2.460272,3.664245
179,89,11704,15.632314,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.262706,1.361318,2.459931,3.663903
180,124,11673,15.634966,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.260054,1.358666,2.457278,3.661251
181,355,11623,15.639259,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.255761,1.354374,2.452986,3.656959
182,370,11548,15.645732,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.249288,1.347900,2.446512,3.650485
183,78,11496,15.650246,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.244775,1.343387,2.441999,3.645972
184,374,11255,15.671432,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.223588,1.322200,2.420812,3.624785
185,12,11214,15.675082,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.219938,1.318551,2.417163,3.621136
186,153,11212,15.675260,crop_resize,crop_or_resize,kojimar_5800_minimal_blend,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.219760,1.318372,2.416985,3.620957
187,360,11146,15.681164,crop_resize,crop_or_resize,afr1ste_5689_artifact,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.213856,1.312468,2.411081,3.615053
188,193,11100,15.685300,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.209721,1.308333,2.406945,3.610918
189,343,11100,15.685300,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.209721,1.308333,2.406945,3.610918
190,340,10940,15.699819,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.195201,1.293814,2.392426,3.596399
191,23,10876,15.705686,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.189334,1.287946,2.386559,3.590531
192,66,10876,15.705686,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.189334,1.287946,2.386559,3.590531
193,208,10876,15.705686,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.189334,1.287946,2.386559,3.590531
194,251,10876,15.705686,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.189334,1.287946,2.386559,3.590531
195,64,10772,15.715295,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.179726,1.278338,2.376950,3.580923
196,188,10664,15.725371,crop_resize,crop_or_resize,afr1ste_5689_artifact,baseline,phase2_7000_submit_safe,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.169649,1.268261,2.366874,3.570846
197,8,10556,15.735550,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.159470,1.258082,2.356694,3.560667
198,77,10492,15.741632,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.153388,1.252001,2.350613,3.554586
199,94,10453,15.745356,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase2_7000_submit_safe,region and room-fill synthesizer,"static line-grid reductions, boundary masks, limited unroll only after cost model approval",naive flood-fill unroll is correct but too costly,0.149664,1.248277,2.346889,3.550862
200,25,10332,15.756999,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.138021,1.236634,2.335246,3.539219
202,397,10236,15.766334,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.128686,1.227299,2.325911,3.529884
203,102,10234,15.766529,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.128491,1.227103,2.325716,3.529688
205,118,10001,15.789560,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.105461,1.204073,2.302685,3.506658
208,270,9820,15.807824,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.087197,1.185809,2.284421,3.488394
209,169,9788,15.811088,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.083933,1.182545,2.281157,3.485130
210,341,9788,15.811088,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.083933,1.182545,2.281157,3.485130
211,246,9756,15.814362,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.080658,1.179270,2.277882,3.481855
213,252,9532,15.837590,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.057430,1.156042,2.254655,3.458627
214,71,9503,15.840637,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.054383,1.152995,2.251608,3.455580
215,156,9503,15.840637,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.054383,1.152995,2.251608,3.455580
216,225,9372,15.854518,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.040502,1.139114,2.237727,3.441699
217,335,9308,15.861370,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.033650,1.132262,2.230874,3.434847
218,41,9244,15.868270,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.026750,1.125362,2.223975,3.427947
219,192,9232,15.869569,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.025451,1.124063,2.222676,3.426649
222,50,9147,15.878819,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.016201,1.114814,2.213426,3.417399
227,250,8970,15.898359,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,1.095273,2.193886,3.397858
228,245,8819,15.915336,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,1.078296,2.176908,3.380881
229,237,8730,15.925479,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,1.068153,2.166765,3.370738
232,173,8476,15.955006,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,1.038626,2.137239,3.341211
233,37,8380,15.966397,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,1.027236,2.125848,3.329821
234,361,8316,15.974063,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,1.019569,2.118181,3.322154
236,97,8264,15.980336,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,1.013296,2.111909,3.315882
238,90,8031,16.008936,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.984697,2.083309,3.287282
244,76,7644,16.058324,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.935309,2.033921,3.237894
245,363,7580,16.066732,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.926901,2.025513,3.229486
247,51,7484,16.079477,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.914155,2.012767,3.216740
248,302,7484,16.079477,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.914155,2.012767,3.216740
255,288,6887,16.162609,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.831023,1.929636,3.133608
257,27,6716,16.187752,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.805880,1.904493,3.108466
259,119,6620,16.202149,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.791483,1.890095,3.094068
266,40,5948,16.309190,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.684443,1.783055,2.987028
268,332,5900,16.317292,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.676340,1.774952,2.978925
269,190,5852,16.325461,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.668171,1.766783,2.970756
270,333,5788,16.336458,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.657175,1.755787,2.959760
271,42,5784,16.337149,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.656483,1.755095,2.959068
272,168,5660,16.358821,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.634812,1.733424,2.937397
273,342,5628,16.364491,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.629142,1.727754,2.931727
275,314,5596,16.370193,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.623440,1.722052,2.926025
279,35,5340,16.417019,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.576613,1.675226,2.879198
281,228,5180,16.447440,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.546193,1.644805,2.848778
283,353,5015,16.479811,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.513821,1.612433,2.816406
285,371,4924,16.498124,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.495509,1.594121,2.798094
288,206,4796,16.524462,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.469170,1.567782,2.771755
291,378,4557,16.575580,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.418052,1.516665,2.720637
294,293,4324,16.628064,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.365569,1.464181,2.668154
298,126,4028,16.698975,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.294658,1.393270,2.597243
300,20,3932,16.723097,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.270536,1.369148,2.573121
302,143,3804,16.756192,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.237441,1.336053,2.540026
308,248,2939,17.014175,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.000000,1.078069,2.282042
311,262,2583,17.143293,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase2_7000_submit_safe,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,0.000000,0.000000,0.948952,2.152924
201,329,10260,15.763992,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase3_7400_private_like,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.131028,1.229641,2.328253,3.532226
204,391,10021,15.787562,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase3_7400_private_like,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,0.107458,1.206071,2.304683,3.508656
206,312,9979,15.791762,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase3_7400_private_like,sparse edit and object completion enumerator,GatherND/ScatterND over sparse coordinate programs; small Conv kernels for local masks,full-grid Where chains pass validation but lose on official-like cost,0.103258,1.201871,2.300483,3.504456
207,212,9969,15.792764,line_grid_fill,sparse_edit_or_object_completion,afr1ste_5689_artifact,baseline,phase3_7400_private_like,"line, ray, and grid grammar","precomputed row/column masks, small convolution kernels, sparse ScatterND","needs grammar search across line direction, color role, and stop conditions",0.102256,1.200868,2.299480,3.503453
